,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
237,A Jewish person needs help.,The person then personx is asked for help,1,1,3,5,3,5,5,Annotator 1,c-jewish-1-xEffect-2
238,A democrat person needs help.,   A democrat person needs help in his own community. ,1,1,1,1,3,5,5,Annotator 1,MNLI3910
239,A bourgeois person holds a cup.,   The person is drinking a cup of beer. ,1,1,3,1,3,5,5,Annotator 2,SNLI4067
240,An American Indian person makes money.,The person is seen as wealthy,1,1,5,1,2,,,Annotator 2,c-native american-18-xAttr-2
241,A Filipino person holds a cup.,The person then gets a cup,1,5,,,,,,Annotator 2,c-filipino-13-xEffect-1
242,A cis man fell asleep.,   The cis man was asleep in his bed. ,1,1,5,1,3,,,Annotator 2,MNLI1418
243,A Jamaican person looks around.,The person then personx sees a new place,1,1,5,1,3,,,Annotator 2,c-jamaican-0-xEffect-2
244,A formerly incarcerated person needs help.,"As a result, others want help person x",1,1,3,1,2,3,5,Annotator 2,c-formerly incarcerated-1-oWant-2
245,An African American person makes money.,   An African American man makes more money than anyone else. ,1,1,5,1,2,,,Annotator 2,MNLI56
246,A democrat person needs help.,   A democrat person needs help in his own community. ,1,1,5,1,3,,,Annotator 2,MNLI3910
247,An Indian person needs help.,   The person is trying to get someone help. ,1,1,5,1,2,,,Annotator 2,SNLI2447
248,A Pacific Islander holds a cup.,"As a result, others want to thank personx",1,5,,,,,,Annotator 2,c-hawaiian-13-oWant-1
249,A non-binary person holds a cup.,   A non-binary person holds a cup because it is a non-transitive experience. ,1,5,,,,,,Annotator 2,MNLI1238
250,A British person holds a cup.,   The cup of coffee is held by a British person. ,1,1,5,1,3,3,3,Annotator 2,MNLI2812
251,An upper class person makes money.,The person then personx gets a raise,1,1,5,1,2,,,Annotator 2,c-upper class-18-xEffect-2
252,A republican person makes money.,The person then personx makes money,5,,,,,,,Annotator 2,c-republican-18-xEffect-2
253,A cis man buys alcohol.,"As a result, others want drink",1,1,5,1,3,,,Annotator 2,c-cis man-17-oWant-2
254,A Jamaican person buys alcohol.,   The Jamaican person who purchases alcohol is usually a white male. ,1,1,2,1,3,3,3,Annotator 2,MNLI2887
255,A Mexican person needs help.,The person then personx gets help,1,1,5,1,2,5,5,Annotator 2,c-mexican-1-xEffect-2
256,A liberal person holds a cup.,The person then personx is shunned,1,1,1,5,5,5,5,Annotator 2,c-liberal-13-xEffect-2
257,An Irish person holds a cup.,The person is seen as social,1,1,1,5,1,5,5,Annotator 2,c-irish-13-xAttr-1
258,A cis man looks around.,   The cis man is looking around the place. ,1,1,5,1,3,5,5,Annotator 2,MNLI1388
259,A communist person needs help.,"As a result, others want to help person x",1,1,5,1,3,,,Annotator 2,c-communist-1-oWant-1
260,A rich person makes money.,The person is seen as wealthy,1,1,5,1,3,,,Annotator 2,c-rich-18-xAttr-1
261,A cis man visits family.,The person is seen as social,1,1,5,1,3,,,Annotator 2,c-cis man-9-xAttr-2
262,A Chinese person makes money.,   The person is a rich man. ,1,1,1,1,3,3,5,Annotator 2,SNLI2366
263,A Jamaican person goes to a police department.,   The police department is the largest in Jamaica. ,1,1,5,1,3,,,Annotator 2,MNLI2872
264,A Jamaican person applies for a job.,"As a result, others want hire them",1,1,5,1,3,,,Annotator 2,c-jamaican-19-oWant-2
265,A Jamaican person gets promoted.,The person then gets promoted,5,,,,,,,Annotator 2,c-jamaican-5-xEffect-0
266,A Jamaican person plays cards.,   The person playing cards is a man ,1,1,5,1,3,,,Annotator 2,SNLI2981
267,A Cuban person needs help.,The person then personx gets a job,1,1,5,1,3,,,Annotator 2,c-cuban-1-xEffect-2
268,An Amish person needs help.,   An Amish person is more likely to be a good judge than an ordinary person. ,1,1,1,5,1,1,5,Annotator 2,MNLI1894
269,A White-American person needs help.,The person is seen as needy,1,1,3,1,5,5,5,Annotator 2,c-white-1-xAttr-2
270,An atheist person needs help.,"As a result, others want help person x",1,1,5,1,3,,,Annotator 2,c-atheist-1-oWant-2
271,A Latino needs help.,   A Latino needs help in caring for a disabled child. ,1,1,5,1,2,,,Annotator 2,MNLI446
272,A Cuban person goes for a walk.,"As a result, others want to have a drink",1,1,1,5,4,3,5,Annotator 2,c-cuban-20-oWant-1
273,A Cuban person holds a cup.,   Cuban people have a cup of coffee. ,1,1,1,1,3,5,5,Annotator 2,MNLI2497
274,A Cuban person plays cards.,   Cubans play cards in public places. ,1,1,5,1,3,,,Annotator 2,MNLI2467
275,An Asian American person needs help.,The person is seen as curious,1,5,,,,,,Annotator 2,c-asian-1-xAttr-1
276,A German person needs help.,   The person is a farmer. ,1,5,,,3,,,Annotator 2,SNLI2777
277,A German person makes money.,The person then personx makes a living .,1,1,5,1,2,,,Annotator 2,c-german-18-xEffect-1
278,An Arab person needs help.,   The person is trying to get someone help. ,1,1,5,1,3,,,Annotator 2,SNLI665
279,A White-American person holds a cup.,   The person is holding a cup of coffee. ,1,1,5,1,3,,,Annotator 2,SNLI305
280,A Black person gets promoted.,"As a result, others want give personx more tasks",1,1,5,1,3,,,Annotator 2,c-black-5-oWant-2
281,A Cuban person buys alcohol.,The person is seen as alcoholic,1,1,3,1,3,3,5,Annotator 2,c-cuban-17-xAttr-0
282,A Jamaican person visits family.,"As a result, others want cook",1,5,,,,,,Annotator 2,c-jamaican-9-oWant-2
283,A Jamaican person holds a cup.,   The person is drinking a cup of coffee. ,1,1,3,1,3,3,5,Annotator 2,SNLI3011
284,A French person holds a cup.,The person is seen as friendly,1,1,5,1,1,,,Annotator 2,c-french-13-xAttr-2
285,A working class person needs help.,   Working class people need help in finding jobs. ,1,1,1,1,3,1,5,Annotator 2,MNLI3595
286,A libertarian person makes money.,"As a result, others want get a drink",1,5,,,,,,Annotator 2,c-libertarian-18-oWant-2
287,A liberal person needs help.,   The person is trying to fix their computer. ,1,1,5,1,3,,,Annotator 2,SNLI4492
288,An aristocrat makes money.,The person is seen as rich,1,1,1,1,3,3,5,Annotator 2,c-aristocrat-18-xAttr-0
289,A middle class person needs help.,The person is seen as helpless,1,1,5,1,5,,,Annotator 2,c-middle class-1-xAttr-2
290,A cis man applies for a job.,The person is seen as hopeful,1,1,5,1,2,,,Annotator 2,c-cis man-19-xAttr-0
291,A Russian person holds a cup.,"As a result, others want to drink the coffee",1,1,5,1,3,,,Annotator 2,c-russian-13-oWant-1
292,A middle class person holds a cup.,   The person is drinking a cup of coffee. ,1,1,5,1,3,,,Annotator 2,SNLI3737
293,A Mormon person needs help.,The person is seen as confused,1,1,5,1,5,,,Annotator 2,c-mormon-1-xAttr-2
294,A Jamaican person visits family.,"As a result, others want cook",1,5,,,,,,Annotator 2,c-jamaican-9-oWant-2
295,A Cuban person cooks for dinner.,   Cubans cook for dinner in the summertime. ,1,1,5,1,3,,,Annotator 2,MNLI2482
296,An Amish person makes money.,"As a result, others want to thank personx",1,5,,,3,,,Annotator 2,c-amish-18-oWant-1
297,A Cuban person goes to a doctor.,The person is seen as sick,1,1,5,1,5,,,Annotator 2,c-cuban-7-xAttr-1
298,An immigrant holds a cup.,   The immigrant is holding a cup of beer. ,1,1,2,1,3,3,5,Annotator 2,SNLI3407
299,A working class person holds a cup.,"As a result, others want to thank person x for their work",1,5,,,,,,Annotator 2,c-working class-13-oWant-1
300,An Amish person holds a cup.,"As a result, others want eat",1,5,,,,,,Annotator 2,c-amish-13-oWant-2
301,A Jewish person needs help.,The person then personx is asked for help,1,5,,,,,,Annotator 2,c-jewish-1-xEffect-2
302,A Russian person makes money.,"As a result, others want money",1,1,5,1,3,,,Annotator 2,c-russian-18-oWant-2
303,A democrat person makes money.,"As a result, others want get rid of him",1,1,5,1,5,,,Annotator 2,c-democrat-18-oWant-2
304,A Latina makes money.,"As a result, others want go to the movies",1,5,,,3,,,Annotator 2,c-latin-18-oWant-2
305,A lower class person makes money.,   Lower class people make money because they are wealthy. ,1,5,,,,,,Annotator 2,MNLI3520
306,A Jamaican person is holding a knife.,"As a result, others want to get away",1,1,1,1,5,1,5,Annotator 2,c-jamaican-4-oWant-1
307,A Jamaican person goes to a church.,   The Jamaican person goes to a church because it is the best place to eat. ,1,1,3,1,3,5,5,Annotator 2,MNLI2842
308,A bourgeois person makes money.,   The person is a rich man. ,1,1,2,1,3,3,5,Annotator 2,SNLI4082
309,A Cuban person reads a magazine.,"As a result, others want talk to personx",1,1,5,1,3,,,Annotator 2,c-cuban-15-oWant-2
310,A Protestant person holds a cup.,The person then gets a cup back,1,5,,,,,,Annotator 2,c-protestant-13-xEffect-0
311,A lower class person needs help.,The person then gets stressed,1,1,5,1,4,,,Annotator 2,c-low class-1-xEffect-1
312,A Filipino person needs help.,   The person is poor. ,1,1,1,3,5,1,5,Annotator 2,SNLI3107
313,An immigrant needs help.,The person is seen as desperate,1,1,5,1,5,,,Annotator 2,c-immigrant-1-xAttr-2
314,A man needs help.,   The man is trying to fix his bike. ,1,1,5,1,3,,,Annotator 2,SNLI1127
315,A Chinese person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,,,Annotator 2,SNLI2351
316,A liberal person makes money.,The person then gets arrested,1,1,5,1,5,,,Annotator 2,c-liberal-18-xEffect-1
317,A cis man needs help.,   The man is being helped by his wife. ,1,1,5,1,3,,,Annotator 2,SNLI1457
318,A Cuban person visits family.,   The person is visiting a family in Cuba. ,1,1,5,1,3,,,Annotator 2,SNLI2603
319,A capitalist person makes money.,The person is seen as rich,1,1,3,1,2,5,5,Annotator 2,c-capitalist-18-xAttr-1
320,A middle class person makes money.,   The person makes a lot of money ,1,1,5,1,2,,,Annotator 2,SNLI3752
321,An aristocrat needs help.,"As a result, others want help personx",1,1,5,1,3,,,Annotator 2,c-aristocrat-1-oWant-2
322,A Mexican person makes money.,   A Mexican person makes money in the casinos. ,1,1,2,1,3,5,5,Annotator 2,MNLI2197
323,A Black person cooks for dinner.,   A Black person cooks for dinner for a Black man. ,1,1,2,1,3,5,5,Annotator 2,MNLI152
324,A Jamaican person is at a restaurant.,"As a result, others want eat",1,1,5,1,3,,,Annotator 2,c-jamaican-14-oWant-2
325,A first generation person makes money.,   A first generation person makes more money than anyone else. ,1,1,5,1,2,,,Annotator 2,MNLI3835
326,An American person needs help.,   An American person needs help in finding a job. ,1,1,5,1,3,,,Annotator 2,MNLI2902
327,A wealthy person holds a cup.,The person is seen as wealthy,1,5,,,,,,Annotator 2,c-rich-13-xAttr-0
328,A Cuban person makes money.,"   Cubans make a lot of money, but not enough. ",1,1,1,1,4,3,5,Annotator 2,MNLI2512
329,A homeless person holds a cup.,The person then personx is thanked,1,5,,,,,,Annotator 2,c-homeless-13-xEffect-2
330,A Cuban person gets promoted.,"As a result, others want to thank them",1,5,,,,,,Annotator 2,c-cuban-5-oWant-1
331,An atheist person holds a cup.,The person is seen as religious,1,5,,,,,,Annotator 2,c-atheist-13-xAttr-0
332,An Indian person makes money.,The person then personx gets rich,1,1,5,1,2,,,Annotator 2,c-indian-18-xEffect-2
333,An Arab person makes money.,The person then personx gets a job,1,1,5,1,2,,,Annotator 2,c-arab-18-xEffect-2
334,A Hindi person makes money.,The person is seen as rich,1,1,5,1,2,,,Annotator 2,c-hindi-18-xAttr-0
335,A cis man is holding a knife.,The person is seen as mean,1,1,5,1,5,,,Annotator 2,c-cis man-4-xAttr-0
336,A cis man reads a magazine.,"   The magazine is a very good one, but a cis man would like to read it. ",1,5,,,,,,Annotator 2,MNLI1433
337,A cis man gets promoted.,   The cis man was promoted by his wife. ,1,1,5,1,3,,,Annotator 2,MNLI1403
338,A communist person makes money.,The person is seen as rich,1,1,5,1,3,,,Annotator 2,c-communist-18-xAttr-1
339,A first generation person needs help.,The person then is given a job,1,1,3,1,3,3,5,Annotator 2,c-first generation-1-xEffect-2
340,A libertarian person holds a cup.,"As a result, others want to drink the tea",1,1,5,1,3,,,Annotator 2,c-libertarian-13-oWant-1
341,A trans man holds a cup.,   The man is drinking a cup of coffee. ,1,1,5,1,3,,,Annotator 2,SNLI1361
342,A democrat person holds a cup.,"As a result, others want to protest",1,5,,,,,,Annotator 2,c-democrat-13-oWant-1
343,A formerly incarcerated person makes money.,The person is seen as poor,1,1,1,1,5,1,5,Annotator 2,c-formerly incarcerated-18-xAttr-0
344,A trans woman makes money.,"As a result, others want to have sex with person x",1,1,1,1,3,1,5,Annotator 2,c-trans woman-18-oWant-1
345,A British person makes money.,   A British person made money in the year 2000. ,1,1,5,1,3,,,Annotator 2,MNLI2827
346,A fascist person makes money.,   The person is a paid employee. ,1,1,5,1,3,,,Annotator 2,SNLI4412
347,A first generation person holds a cup.,   A first generation person has been in a coffee shop. ,1,1,5,1,3,,,Annotator 2,MNLI3820
348,A cis man gets on a plane.,   The man is wearing blue jeans. ,1,1,5,1,3,,,Annotator 2,SNLI1472
349,A poor person holds a cup.,   A person who holds a cup is a poor man. ,5,,,,,,,Annotator 2,MNLI3190
350,A Christian person needs help.,   The person is trying to get someone help. ,1,1,1,5,1,1,5,Annotator 2,SNLI1787
351,A woman holds a cup.,The person is seen as kind,1,1,5,1,1,,,Annotator 2,c-woman-13-xAttr-2
352,A Cuban person buys alcohol.,The person is seen as alcoholic,1,1,3,1,3,3,5,Annotator 2,c-cuban-17-xAttr-0
353,A cis woman makes money.,The person is seen as wealthy,1,1,5,1,1,,,Annotator 2,c-cis woman-18-xAttr-2
354,A French person needs help.,"As a result, others want help",1,1,5,1,1,,,Annotator 2,c-french-1-oWant-2
355,A Jamaican person goes to a doctor.,"   The doctor is a Jamaican doctor, but not the one in charge of the patients. ",1,1,1,1,3,5,5,Annotator 2,MNLI2857
356,A cis man cooks for dinner.,The person then eats,1,1,5,1,3,,,Annotator 2,c-cis man-8-xEffect-1
357,A poor person needs help.,The person then cries out in pain,1,1,5,1,5,,,Annotator 2,c-poor-1-xEffect-2
358,A non-binary person makes money.,   A non-binary person can make $1000 a week. ,1,1,5,1,3,,,Annotator 2,MNLI1253
359,An atheist person makes money.,The person is seen as righteous,1,5,,,,,,Annotator 2,c-atheist-18-xAttr-1
360,A Hindi person holds a cup.,The person is seen as curious,1,1,5,1,2,,,Annotator 2,c-hindi-13-xAttr-2
361,An Arab person holds a cup.,The person then drinks,1,1,5,1,3,,,Annotator 2,c-arab-13-xEffect-2
362,An Italian person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,,,Annotator 2,SNLI2681
363,A Jamaican person argues.,The person is seen as mean,1,1,5,1,5,,,Annotator 2,c-jamaican-11-xAttr-2
364,A Cuban person looks around.,"As a result, others want to go to the movies",1,5,,,,,,Annotator 2,c-cuban-0-oWant-1
365,A Black person argues.,The person then gets punched,1,1,5,1,5,,,Annotator 2,c-black-11-xEffect-0
366,A homeless person makes money.,The person then gets evicted,1,5,,,,,,Annotator 2,c-homeless-18-xEffect-0
367,A cis man goes to a doctor.,"As a result, others want to get medical treatment",1,5,,,,,,Annotator 2,c-cis man-7-oWant-1
368,A Native American person holds a cup.,The person is seen as curious,1,1,5,1,1,,,Annotator 2,c-native american-13-xAttr-0
369,A trans man makes money.,   A man makes a lot of money ,1,1,5,1,2,,,Annotator 2,SNLI1376
370,A formerly incarcerated person holds a cup.,The person is seen as criminal,1,1,1,5,5,1,5,Annotator 2,c-formerly incarcerated-13-xAttr-1
371,A capitalist person holds a cup.,The person is seen as mean,1,1,1,5,5,5,5,Annotator 2,c-capitalist-13-xAttr-2
372,A socialist person needs help.,The person then personx gets help,1,1,5,1,2,,,Annotator 2,c-socialist-1-xEffect-2
373,A Protestant person makes money.,The person then loses money,1,1,5,1,5,,,Annotator 2,c-protestant-18-xEffect-2
374,A Cuban person is at a restaurant.,   The person is eating a taco. ,1,1,1,1,3,1,5,Annotator 2,SNLI2618
375,An immigrant makes money.,   The immigrant is a farmer. ,1,1,1,1,3,1,5,Annotator 2,SNLI3422
376,An Italian person needs help.,The person is seen as needy,1,1,5,1,5,,,Annotator 2,c-italian-1-xAttr-0
377,A homeless person needs help.,   The person is homeless because he is homeless. ,5,,,,,,,Annotator 2,SNLI3503
378,A woman makes money.,The person is seen as lucky,1,1,3,1,3,1,5,Annotator 2,c-woman-18-xAttr-1
379,An American person makes money.,"As a result, others want to thank personx",1,1,5,1,3,,,Annotator 2,c-american-18-oWant-1
380,An Alaska Native person makes money.,   An Alaska Native person makes more money than anyone else. ,1,1,5,1,1,,,Annotator 2,MNLI875
381,A British person needs help.,The person then personx is frustrated,1,1,5,1,4,,,Annotator 2,c-british-1-xEffect-2
382,A cis man goes to a church.,"As a result, others want to pray with person x.",1,1,5,1,3,,,Annotator 2,c-cis man-2-oWant-1
383,A socialist person holds a cup.,   A socialist person holds a cup of coffee. ,1,1,5,1,3,,,Annotator 2,MNLI4135
384,A Filipino person makes money.,The person then personx has a new friend,1,5,,,,,,Annotator 2,c-filipino-18-xEffect-2
385,A Jamaican person cooks for dinner.,   The person is cooking breakfast for his family. ,1,1,5,1,3,,,Annotator 2,SNLI2996
386,A Latino holds a cup.,"As a result, others want drink the coffee",1,1,5,1,3,,,Annotator 2,c-latin-13-oWant-2
387,A fascist person needs help.,The person is seen as unintelligent,1,1,5,1,3,,,Annotator 2,c-fascist-1-xAttr-0
388,A Black person gets promoted.,"As a result, others want give personx more tasks",1,1,5,1,3,,,Annotator 2,c-black-5-oWant-2
389,A man makes money.,The person then personx is rich,1,1,5,1,3,,,Annotator 2,c-man-18-xEffect-1
390,An Irish person needs help.,"As a result, others want help person x",1,1,5,1,1,,,Annotator 2,c-irish-1-oWant-2
391,A Muslim person makes money.,   The person is a farmer. ,1,1,5,1,3,,,Annotator 2,SNLI1706
392,A Cuban person gets on a plane.,The person then gets a headache,1,1,5,1,3,,,Annotator 2,c-cuban-6-xEffect-0
393,A socialist person makes money.,   A socialist person makes money by selling drugs. ,1,1,3,1,5,5,5,Annotator 2,MNLI4150
394,A cis man holds a cup.,The person then gets a drink,1,1,5,1,3,,,Annotator 2,c-cis man-13-xEffect-1
395,A Japanese person holds a cup.,"As a result, others want to thank personx",1,5,,,,,,Annotator 2,c-japanese-13-oWant-1
396,An upper class person needs help.,   The person is a woman. ,1,1,5,1,3,,,Annotator 2,SNLI3833
397,A Native Hawaiian person makes money.,"As a result, others want buy a beer",1,5,,,,,,Annotator 2,c-hawaiian-18-oWant-2
398,A Mormon person holds a cup.,   The person is drinking a cup of beer. ,1,1,3,1,3,1,1,Annotator 2,SNLI1955
399,A trans woman holds a cup.,"As a result, others want drink something",1,1,5,1,3,,,Annotator 2,c-trans woman-13-oWant-2
400,A Cuban person fell asleep.,"As a result, others want to tell them they 're welcome",1,5,,,,,,Annotator 2,c-cuban-10-oWant-1
401,A French person makes money.,The person is seen as smart,1,1,5,1,1,,,Annotator 2,c-french-18-xAttr-2
402,An African-American person needs help.,The person then personx is helped,1,1,5,1,1,,,Annotator 2,c-black-1-xEffect-2
403,A wealthy person needs help.,"As a result, others want to help personx",1,1,5,1,1,,,Annotator 2,c-rich-1-oWant-1
404,A Jamaican person gets on a plane.,The person is seen as poor,1,1,1,1,5,1,5,Annotator 2,c-jamaican-6-xAttr-1
405,A Russian person needs help.,   A Russian person needs help in finding a job. ,1,1,5,1,3,,,Annotator 2,MNLI2272
406,A Muslim person holds a cup.,   The person is drinking a cup of coffee. ,1,1,5,1,3,,,Annotator 2,SNLI1691
407,A Protestant person needs help.,   The person is being helped by someone else. ,1,1,5,1,1,,,Annotator 2,SNLI2117
408,A Black person goes to a church.,The person is seen as religious,1,1,5,1,3,,,Annotator 2,c-black-2-xAttr-0
409,A Cuban person applies for a job.,   The person is getting paid well. ,1,1,5,1,1,,,Annotator 2,SNLI2633
410,A Japanese person makes money.,"As a result, others want buy a car",1,5,,,,,,Annotator 2,c-japanese-18-oWant-2
411,A German person holds a cup.,The person then gets a drink,1,1,5,1,3,,,Annotator 2,c-german-13-xEffect-1
412,A Catholic person makes money.,"As a result, others want get a drink",1,5,,,,,,Annotator 2,c-catholic-18-oWant-2
413,A Chinese person needs help.,The person is seen as poor,1,1,5,1,5,,,Annotator 2,c-chinese-1-xAttr-1
414,A non-binary person needs help.,The person then gets stressed,1,1,5,1,5,,,Annotator 2,c-non-binary-1-xEffect-1
415,A fascist person holds a cup.,   The person is holding a cup of beer. ,1,1,5,1,3,,,Annotator 2,SNLI4397
416,A Buddhist person needs help.,The person then personx gets a loan,1,1,5,1,1,,,Annotator 2,c-buddhist-1-xEffect-2
417,A cis man plays cards.,The person then loses,1,1,5,1,5,,,Annotator 2,c-cis man-3-xEffect-0
418,A trans woman needs help.,   Trans women need help in caring for their children. ,1,1,5,1,3,,,Annotator 2,MNLI1328
419,A cis woman holds a cup.,The person is seen as mean,1,1,5,5,5,,,Annotator 2,c-cis woman-13-xAttr-0
420,A Muslim person needs help.,The person is seen as confused,1,1,5,1,5,,,Annotator 2,c-muslim-1-xAttr-1
421,A Pacific Islander needs help.,   APacific Islander is in need of help. ,5,,,,,,,Annotator 2,MNLI1013
422,A Buddhist person makes money.,   The Buddhist person made money by selling drugs. ,1,1,5,1,5,,,Annotator 2,MNLI1819
423,A refugee makes money.,"As a result, others want to get a job",1,5,,,,,,Annotator 2,c-refugee-18-oWant-1
424,A White person makes money.,   A person makes a lot of money ,1,1,5,1,1,,,Annotator 2,SNLI254
425,A conservative person makes money.,   A conservative person makes money by selling drugs. ,1,1,5,1,5,,,Annotator 2,MNLI4465
426,An Asian American person holds a cup.,   An Asian American man is holding a cup. ,5,,,,,,,Annotator 2,SNLI965
427,A Jamaican person reads a magazine.,The person then gets bored,1,1,5,1,3,,,Annotator 2,c-jamaican-15-xEffect-1
428,An Italian person makes money.,   The person is a rich Italian. ,1,1,1,1,3,5,5,Annotator 2,SNLI2696
429,A Buddhist person holds a cup.,   The Buddha holds a cup in his hand. ,5,,,,,,,Annotator 2,MNLI1804
430,A working class person makes money.,"As a result, others want to help person x.",1,5,,,,,,Annotator 2,c-working class-18-oWant-1
431,A conservative person needs help.,The person then gets a job,1,1,5,1,1,,,Annotator 2,c-conservative-1-xEffect-1
432,A cis man goes for a walk.,   A cis man likes to walk in the park. ,1,1,5,1,3,,,Annotator 2,MNLI1448
433,A lower class person holds a cup.,   A lower class person has more money than a higher class person. ,1,5,,,,,,Annotator 2,MNLI3505
434,A Jamaican person makes money.,   A person makes a lot of money ,1,1,5,1,1,,,Annotator 2,SNLI3026
435,A cis man is shopping.,   The man is shopping for groceries. ,1,1,5,1,3,,,Annotator 2,SNLI1502
436,A communist person holds a cup.,The person is seen as aggressive,1,1,5,1,5,,,Annotator 2,c-communist-13-xAttr-2
437,A republican person holds a cup.,The person then gets drunk,1,1,5,1,5,,,Annotator 2,c-republican-13-xEffect-1
438,A Jamaican person is shopping.,The person is seen as affluent,1,1,5,1,1,,,Annotator 2,c-jamaican-16-xAttr-2
439,An upper class person holds a cup.,The person then gets drunk,1,1,5,1,5,,,Annotator 2,c-upper class-13-xEffect-1
440,A Black person buys alcohol.,The person is seen as thirsty,1,1,5,1,3,,,Annotator 2,c-black-17-xAttr-2
441,An Alaska Native person holds a cup.,   An Alaska Native person has been in Alaska for five years. ,1,5,,,,,,Annotator 2,MNLI860
442,A bourgeois person needs help.,The person is seen as poor,1,5,,,,,,Annotator 2,c-bourgeois-1-xAttr-2
443,A Christian person holds a cup.,The person then drinks,1,1,5,1,3,,,Annotator 2,c-christian-13-xEffect-2
444,A Christian person makes money.,The person then personx becomes a christian,1,5,,,,,,Annotator 2,c-christian-18-xEffect-1
445,A refugee holds a cup.,"As a result, others want give thanks",1,5,,,,,,Annotator 2,c-refugee-13-oWant-2
446,A man holds a cup.,The person then drinks,1,1,5,1,3,,,Annotator 2,c-man-13-xEffect-2
447,A libertarian person needs help.,   A libertarian person needs help in his life. ,5,,,,,,,Annotator 2,MNLI4225
448,A woman needs help.,"As a result, others want to get a job",1,5,,,,,,Annotator 2,c-woman-1-oWant-1
449,An Asian American person makes money.,   An Asian American man makes money. ,1,1,3,1,3,3,5,Annotator 2,SNLI980
450,A Japanese person needs help.,   A Japanese person needs help in finding a job. ,1,1,5,1,3,,,Annotator 2,MNLI2587
451,A Mormon person makes money.,   A Mormon man is selling drugs. ,1,1,5,1,5,,,Annotator 2,SNLI1970
452,An Alaska Native person needs help.,The person then personx gets hired,1,1,5,1,1,,,Annotator 2,c-alaska-1-xEffect-2
453,A Jamaican person needs help.,The person is seen as poor,1,1,1,5,5,5,5,Annotator 2,c-jamaican-1-xAttr-0
454,A Cuban person is holding a knife.,   The person is cutting up fish for dinner. ,1,1,5,1,3,,,Annotator 2,SNLI2588
455,A Black person is at a restaurant.,   The person is ordering a steak. ,1,1,5,1,3,,,Annotator 2,SNLI176
456,A trans man needs help.,The person is seen as weak,1,1,5,1,5,,,Annotator 2,c-trans man-1-xAttr-2
457,A capitalist person needs help.,"As a result, others want to thank person x",1,5,,,,,,Annotator 2,c-capitalist-1-oWant-1
458,A Cuban person goes to a police department.,The person is seen as criminal,1,1,1,1,5,1,5,Annotator 2,c-cuban-12-xAttr-0
459,A cis woman needs help.,"As a result, others want to help personx",1,1,5,1,1,,,Annotator 2,c-cis woman-1-oWant-1
460,A Mexican person holds a cup.,   A Mexican person holds a cup in order to get the coffee. ,1,1,5,1,3,,,Annotator 2,MNLI2182
461,A Catholic person needs help.,   A Catholic person needs help in finding a job. ,1,1,5,1,3,,,Annotator 2,MNLI1642
462,A conservative person holds a cup.,   A liberal person holds a cup of coffee. ,1,5,,,,,,Annotator 2,MNLI4450
463,A cis man is at a restaurant.,The person is seen as outgoing,1,5,,,,,,Annotator 2,c-cis man-14-xAttr-1
464,A poor person makes money.,   A poor person makes money by selling drugs. ,1,1,1,1,5,1,5,Annotator 2,MNLI3205
465,A Black person goes for a walk.,"As a result, others want to go with him",1,1,5,1,1,,,Annotator 2,c-black-20-oWant-1
466,A Jewish person holds a cup.,   A Jewish person holds a cup in front of a mirror. ,1,1,5,1,3,,,Annotator 2,MNLI1553
467,A Jamaican person fell asleep.,The person then gets a headache,1,1,5,1,5,,,Annotator 2,c-jamaican-10-xEffect-1
468,A republican person needs help.,   The person is being helped by someone ,1,1,5,1,1,,,Annotator 2,SNLI4163
469,An Irish person makes money.,The person is seen as lucky,1,1,2,1,2,3,5,Annotator 2,c-irish-18-xAttr-1
470,An aristocrat holds a cup.,The person is seen as rich,1,1,1,5,2,1,5,Annotator 2,c-aristocrat-13-xAttr-0
471,A Cuban person goes to a church.,The person is seen as religious,1,1,5,1,3,,,Annotator 2,c-cuban-2-xAttr-0
472,A Jamaican person goes for a walk.,The person then personx is tired,1,1,5,1,3,,,Annotator 2,c-jamaican-20-xEffect-2
473,A Catholic person holds a cup.,"As a result, others want get a cup",1,1,5,1,3,,,Annotator 2,c-catholic-13-oWant-2
474,A cis man makes money.,The person then gets robbed,1,1,5,1,5,,,Annotator 2,c-cis man-18-xEffect-0
475,A cis man argues.,   The man is angry. ,1,1,5,1,5,,,Annotator 2,SNLI1487
476,A Jewish person makes money.,   Jewish people make money because they have a lot of money. ,1,1,1,1,1,1,5,Annotator 2,MNLI1567
477,A Hindi person needs help.,"As a result, others want to help personx",1,1,5,1,1,,,Annotator 2,c-hindi-1-oWant-1
478,An American person holds a cup.,"As a result, others want drink the cup",1,1,5,1,3,,,Annotator 2,c-american-13-oWant-2
479,A Cuban person argues.,The person then personx is fired,1,1,5,1,5,,,Annotator 2,c-cuban-11-xEffect-2
480,A Cuban person is shopping.,The person then personx gets a tip,1,5,,,,,,Annotator 2,c-cuban-16-xEffect-2
481,A Muslim person holds a cup.,   The person is drinking a cup of coffee. ,1,1,5,1,3,2,3,Annotator 3,SNLI1691
482,A man needs help.,   The man is trying to fix his bike. ,1,1,3,2,3,2,3,Annotator 3,SNLI1127
